Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Labels,Story Points
Story,Define Project Vision,"User Story:
As a product owner, I want to document the project vision and success criteria, so that I can align stakeholders on what the platform must achieve.

Acceptance Criteria:
1. Given stakeholder objectives are collected, when I review the project vision, then I can see measurable outcomes and scope boundaries.
2. Given delivery planning starts, when the team references the vision, then roadmap decisions align to agreed business goals.",,Discovery,Medium,discovery,
Story,Gather Requirements,"User Story:
As a business analyst, I want to gather and consolidate detailed requirements from stakeholders, so that I can produce a complete and actionable scope baseline.

Acceptance Criteria:
1. Given stakeholder interviews and emails are available, when I compile requirements, then all functional and non-functional requirements are captured in one place.
2. Given conflicting inputs exist, when I document requirements, then unresolved items are clearly marked as open questions.",,Discovery,Medium,discovery,
Story,Define User Roles & Permissions,"User Story:
As a solution architect, I want to define user roles and permissions, so that I can enforce appropriate access control across the platform.

Acceptance Criteria:
1. Given role definitions are drafted, when I validate access rules, then agent and admin permissions are clearly separated.
2. Given security review is performed, when role matrices are inspected, then each key function has an authorized role assigned.",,Discovery,Medium,"discovery,security",
Story,Create User Journeys & Wireframes,"User Story:
As a UX designer, I want to map user journeys and produce wireframes for key screens, so that I can validate flow and usability before development.

Acceptance Criteria:
1. Given core workflows are identified, when I complete journey maps, then each critical path includes start, decision, and completion states.
2. Given wireframes are reviewed, when stakeholders provide feedback, then required changes are tracked for scope refinement.",,Discovery,Medium,"discovery,ux",
Story,Publish SRS and Initial Backlog,"User Story:
As a project manager, I want to publish an SRS and initial backlog, so that I can move the team into implementation with signed-off scope.

Acceptance Criteria:
1. Given discovery outputs are finalized, when I publish the SRS, then requirements, constraints, and acceptance expectations are documented.
2. Given delivery planning begins, when Jira stories are reviewed, then each story has clear acceptance criteria and priority.",,Discovery,Medium,discovery,
Story,Setup Flutter Project Foundation,"User Story:
As a developer, I want to establish the Flutter project foundation, so that I can build features on a consistent application structure.

Acceptance Criteria:
1. Given repository setup is complete, when I run the app locally, then the baseline project builds successfully.
2. Given new contributors join, when they inspect project structure, then core modules and conventions are clearly organized.",,Project Foundation & Infrastructure Setup,Medium,"foundation,flutter",
Story,Configure Environments,"User Story:
As a DevOps engineer, I want to configure development, test, and production environments, so that I can support safe and predictable deployments.

Acceptance Criteria:
1. Given environment variables are defined, when each environment is deployed, then environment-specific settings are correctly applied.
2. Given a release is prepared, when configuration is validated, then no production secrets are exposed in lower environments.",,Project Foundation & Infrastructure Setup,Medium,"infrastructure,devops",
Story,Setup Auth & API Schema Foundations,"User Story:
As a backend engineer, I want to configure authentication and API schema foundations, so that I can support secure and structured data access.

Acceptance Criteria:
1. Given auth configuration is implemented, when a valid user signs in, then authenticated requests are accepted.
2. Given API schema definitions are created, when data operations are executed, then requests conform to the schema rules.",,Project Foundation & Infrastructure Setup,Medium,"foundation,authentication",
Story,Setup CI/CD Pipeline,"User Story:
As an engineering lead, I want to establish a CI/CD pipeline, so that I can automate builds, tests, and deployments.

Acceptance Criteria:
1. Given source changes are pushed, when CI runs, then linting and tests execute automatically.
2. Given a release branch is approved, when CD runs, then deployment is triggered to the target environment.",,Project Foundation & Infrastructure Setup,Medium,"infrastructure,cicd",
Story,Enable Logging & Monitoring,"User Story:
As a support engineer, I want to enable logging and error monitoring, so that I can detect and triage production issues quickly.

Acceptance Criteria:
1. Given runtime events occur, when logs are generated, then key actions and failures are traceable.
2. Given an application error occurs, when monitoring alerts trigger, then the support team receives actionable incident data.",,Project Foundation & Infrastructure Setup,Medium,"infrastructure,monitoring",
Story,Agent Login,"User Story:
As an agent, I want to sign in securely, so that I can access my bookings and account features.

Acceptance Criteria:
1. Given I have valid credentials, when I submit the login form, then I am authenticated and routed to the app home.
2. Given I enter invalid credentials, when I submit the login form, then I see an error and remain unauthenticated.",,Authentication & Agent Account Management,Medium,"authentication,agent",
Story,Password Reset,"User Story:
As an agent, I want to reset my password, so that I can regain access if I forget my credentials.

Acceptance Criteria:
1. Given I request a password reset, when I submit my registered email, then I receive reset instructions.
2. Given I complete the reset flow, when I set a new valid password, then I can sign in with the updated password.",,Authentication & Agent Account Management,Medium,"authentication,agent",
Story,Manage Agent Profile,"User Story:
As an agent, I want to manage my profile information, so that I can keep my contact and business details accurate.

Acceptance Criteria:
1. Given I am authenticated, when I update editable profile fields, then changes are saved and shown on reload.
2. Given required fields are incomplete, when I try to save, then I see validation errors.",,Authentication & Agent Account Management,Medium,"authentication,agent",
Story,Enforce Role-Based Access Control,"User Story:
As an administrator, I want to enforce role-based access controls, so that I can ensure agents and admins can only access permitted features.

Acceptance Criteria:
1. Given an agent account is logged in, when the user attempts to open admin-only pages, then access is denied.
2. Given an admin account is logged in, when the user opens admin management tools, then access is granted.",,Authentication & Agent Account Management,Medium,"authentication,security,admin",
Story,Create Booking Request,"User Story:
As an agent, I want to create a booking request, so that I can request photography services for a property.

Acceptance Criteria:
1. Given I am authenticated, when I complete mandatory booking fields and submit, then a new booking request is created.
2. Given mandatory fields are missing, when I submit the form, then submission is blocked with clear validation messages.",,Booking Request Creation,Medium,"booking,agent",
Story,Enter Property Details,"User Story:
As an agent, I want to enter property details in a booking, so that I can help the operations team schedule the service correctly.

Acceptance Criteria:
1. Given I am on the booking form, when I provide address and property details, then the data is saved with the booking request.
2. Given an invalid address format is entered, when I submit, then I receive a validation error.",,Booking Request Creation,Medium,"booking,agent",
Story,Select Preferred Date & Time,"User Story:
As an agent, I want to submit preferred date and time information, so that I can help the team review scheduling intent.

Acceptance Criteria:
1. Given I enter preferred schedule details, when I submit the booking, then requested date and time are recorded.
2. Given date information is missing, when I submit the booking, then I am prompted to complete the schedule fields.",,Booking Request Creation,Medium,"booking,agent",
Story,Choose Service Package,"User Story:
As an agent, I want to choose a service or package, so that I can ensure my booking request matches the media services I need.

Acceptance Criteria:
1. Given service options are configured, when I select a service package, then the booking reflects the selected package.
2. Given no service is selected, when I submit, then the form returns a required-field validation message.",,Booking Request Creation,Medium,"booking,services,agent",
Story,Add Notes & Receive Submission Confirmation,"User Story:
As an agent, I want to include booking notes and receive submission confirmation, so that I can share special instructions and know the request was received.

Acceptance Criteria:
1. Given I enter optional notes, when I submit the booking, then notes are attached to the request record.
2. Given submission succeeds, when the workflow completes, then I see a confirmation message with booking reference details.",,Booking Request Creation,Medium,"booking,agent",
Story,View Booking List,"User Story:
As an agent, I want to view a list of my bookings, so that I can quickly track current and historical requests.

Acceptance Criteria:
1. Given I have existing bookings, when I open the bookings screen, then I can see bookings ordered and identifiable.
2. Given no bookings exist, when I open the bookings screen, then I see an empty-state message.",,Booking Tracking & Status Management,Medium,"booking,tracking,agent",
Story,View Booking Details,"User Story:
As an agent, I want to open detailed booking information, so that I can review service, property, and status specifics.

Acceptance Criteria:
1. Given a booking exists, when I open its detail view, then I can see full booking metadata and notes.
2. Given I open a booking detail, when data is loaded, then status and timeline information are visible.",,Booking Tracking & Status Management,Medium,"booking,tracking,agent",
Story,Track Booking Status Changes,"User Story:
As an agent, I want to track booking status updates, so that I can understand booking progress without contacting admin.

Acceptance Criteria:
1. Given a booking status changes, when I view the booking, then the current status is updated.
2. Given status updates occur over time, when I check booking history, then I can see prior and current state transitions.",,Booking Tracking & Status Management,Medium,"booking,tracking,agent",
Story,View Booking History,"User Story:
As an agent, I want to view booking history records, so that I can reference prior actions and communications.

Acceptance Criteria:
1. Given booking events are logged, when I open booking history, then entries are shown in chronological order.
2. Given a booking has no history events, when I open the history tab, then I see a clear no-history state.",,Booking Tracking & Status Management,Medium,"booking,tracking,agent",
Story,View Admin Booking Dashboard,"User Story:
As an admin, I want to view a booking dashboard, so that I can monitor incoming and active requests in one place.

Acceptance Criteria:
1. Given bookings exist, when I open the admin dashboard, then I can see summary metrics and booking queues.
2. Given I need to prioritize work, when I review dashboard sections, then high-priority items are visible.",,Admin Booking Management Portal,Medium,"admin,booking",
Story,Review Incoming Booking Queue,"User Story:
As an admin, I want to review incoming booking requests, so that I can triage and process requests efficiently.

Acceptance Criteria:
1. Given new requests are submitted, when I open the incoming queue, then unprocessed bookings are listed.
2. Given I select a queue item, when I open the request, then booking details are available for review.",,Admin Booking Management Portal,Medium,"admin,booking",
Story,Update Booking Status,"User Story:
As an admin, I want to update booking statuses, so that I can keep agents informed with accurate progress for their requests.

Acceptance Criteria:
1. Given a booking is in review, when I set a new status, then the booking status is updated and saved.
2. Given a status update is made, when the agent views the booking, then the updated status is displayed.",,Admin Booking Management Portal,Medium,"admin,booking",
Story,Add Admin Notes to Bookings,"User Story:
As an admin, I want to add internal notes to bookings, so that I can preserve operational context for my team.

Acceptance Criteria:
1. Given I am viewing a booking, when I add an admin note, then the note is attached to the booking record.
2. Given multiple admins contribute notes, when notes are reviewed, then each entry shows author and timestamp.",,Admin Booking Management Portal,Medium,"admin,booking",
Story,Search & Filter Bookings,"User Story:
As an admin, I want to search and filter bookings, so that I can quickly find the right records.

Acceptance Criteria:
1. Given many bookings exist, when I filter by status or date, then only matching records are shown.
2. Given I search by property or agent details, when I run search, then relevant bookings are returned.",,Admin Booking Management Portal,Medium,"admin,booking",
Story,Send Agent Enquiry on Booking,"User Story:
As an agent, I want to send an enquiry about a booking, so that I can request clarification or updates from admin.

Acceptance Criteria:
1. Given I am on a booking record, when I submit an enquiry, then the message is saved and visible to admin.
2. Given an enquiry is sent, when admin views booking communications, then the enquiry appears with timestamp.",,Messaging & Notifications,Medium,"messaging,agent",
Story,Receive Booking Confirmation Notification,"User Story:
As an agent, I want to receive booking confirmation notifications, so that I can know when requests are accepted.

Acceptance Criteria:
1. Given a booking is confirmed, when notification processing runs, then a confirmation notification is sent to the agent.
2. Given a notification is delivered, when I check message content, then booking reference details are included.",,Messaging & Notifications,Medium,"notifications,agent",
Story,Receive Booking Status Change Notification,"User Story:
As an agent, I want to receive notifications when booking status changes, so that I can stay informed without checking manually.

Acceptance Criteria:
1. Given booking status changes, when notification rules are evaluated, then the agent receives a status-change alert.
2. Given multiple status events occur, when I review notifications, then each event is represented once.",,Messaging & Notifications,Medium,"notifications,agent",
Story,Trigger Email Notifications for Booking Events,"User Story:
As an operations manager, I want to trigger email notifications for booking events, so that I can keep communication consistent and auditable.

Acceptance Criteria:
1. Given a configured booking event occurs, when notification logic executes, then an email is queued to the intended recipient.
2. Given email delivery succeeds, when event logs are reviewed, then the notification outcome is recorded.",,Messaging & Notifications,Medium,"notifications,email",
Story,Manage Service Catalogue,"User Story:
As an admin, I want to manage the service catalogue, so that I can keep available offerings current.

Acceptance Criteria:
1. Given admin access is granted, when I create or edit a service, then the catalogue updates successfully.
2. Given a service is deactivated, when agents create bookings, then the inactive service cannot be selected.",,"Services, Packages & Pricing Rules",Medium,"services,admin",
Story,Configure Service Packages,"User Story:
As an admin, I want to configure service packages, so that I can sell bundled offerings consistently.

Acceptance Criteria:
1. Given package settings are available, when I define package contents, then package selections persist.
2. Given an agent selects a package, when booking summary is shown, then included services are clearly listed.",,"Services, Packages & Pricing Rules",Medium,"services,packages,admin",
Story,Apply Special Agent Pricing,"User Story:
As an admin, I want to apply special pricing rules for selected agents, so that I can honor negotiated pricing.

Acceptance Criteria:
1. Given an agent has a special pricing profile, when they select a service, then the configured special price is applied.
2. Given no special pricing is configured, when an agent books a service, then standard pricing is used.",,"Services, Packages & Pricing Rules",Medium,"pricing,admin",
Story,Display Pricing Breakdown,"User Story:
As an agent, I want to see a pricing breakdown before submission, so that I can verify expected costs.

Acceptance Criteria:
1. Given a service or package is selected, when I view booking summary, then line-item pricing is displayed.
2. Given pricing rules change, when I refresh the booking summary, then updated pricing is reflected.",,"Services, Packages & Pricing Rules",Medium,"pricing,agent",
Story,Upload Floor Plan File,"User Story:
As an admin user, I want to upload a floor plan image file, so that I can prepare listing media for publication.

Acceptance Criteria:
1. Given I am on the floor plan upload screen, when I upload a valid JPEG file, then the file is stored and marked ready for mapping.
2. Given I upload an unsupported file type, when validation runs, then upload is rejected with a clear error.",,Floor Plan Upload & Barfoot Integration,Medium,"integration,barfoot,floor-plan",
Story,Enter Barfoot Listing ID,"User Story:
As an admin user, I want to enter a Barfoot listing ID for an uploaded floor plan, so that I can map the media to the correct listing.

Acceptance Criteria:
1. Given a floor plan upload exists, when I enter a valid listing ID, then the system associates the floor plan with that listing reference.
2. Given the listing ID format is invalid, when I submit the mapping form, then I receive validation feedback.",,Floor Plan Upload & Barfoot Integration,Medium,"integration,barfoot,floor-plan",
Story,Push Floor Plan to Barfoot Listing,"User Story:
As an admin user, I want to push a mapped floor plan to a Barfoot listing, so that I can publish the floor plan into the listing media tabs.

Acceptance Criteria:
1. Given a floor plan is mapped to a valid listing ID, when I trigger push to listing, then the integration sends the floor plan to Barfoot successfully.
2. Given push succeeds, when I review integration logs, then I can see a success response recorded.",,Floor Plan Upload & Barfoot Integration,Medium,"integration,barfoot,floor-plan",
Story,Replace Existing Floor Plan,"User Story:
As an admin user, I want to replace an existing floor plan for a listing, so that I can correct outdated or incorrect floor plan media.

Acceptance Criteria:
1. Given a listing already has a floor plan, when I upload a replacement and push again, then the listing shows the updated floor plan.
2. Given replacement fails, when I review the push result, then an actionable error message is shown.",,Floor Plan Upload & Barfoot Integration,Medium,"integration,barfoot,floor-plan",
Story,Validate Barfoot Integration Access & Testing,"User Story:
As a technical administrator, I want to validate API access and integration tests with Barfoot, so that I can confirm only authorized publishing actions are permitted.

Acceptance Criteria:
1. Given integration credentials are configured, when connection validation runs, then authorized access status is returned.
2. Given test payloads are submitted, when integration tests execute, then expected responses are logged for pass or fail outcomes.",,Floor Plan Upload & Barfoot Integration,Medium,"integration,barfoot,testing",
Story,Discover Ubookr Integration Requirements,"User Story:
As a product owner, I want to assess Ubookr integration requirements, so that I can decide the scope and priority of external booking sync.

Acceptance Criteria:
1. Given discovery activities are completed, when I review findings, then integration feasibility, constraints, and dependencies are documented.
2. Given scope planning is underway, when optional integrations are reviewed, then Ubookr work is clearly marked as optional phase.",,Ubookr Third-Party Integration,Medium,"integration,ubookr,discovery",
Story,Sync Booking Data with Ubookr,"User Story:
As an operations administrator, I want to sync booking data with Ubookr, so that I can reflect external booking changes without manual re-entry.

Acceptance Criteria:
1. Given sync configuration is active, when eligible booking data changes, then updates are sent to Ubookr.
2. Given sync succeeds, when audit logs are inspected, then each synced event includes timestamp and status.",,Ubookr Third-Party Integration,Medium,"integration,ubookr",
Story,Handle Ubookr Integration Errors,"User Story:
As a support administrator, I want to capture and surface integration errors, so that I can resolve sync failures quickly.

Acceptance Criteria:
1. Given an external sync call fails, when error handling executes, then failure reason and retry status are logged.
2. Given unresolved failures exist, when I review integration health, then failed items are visible for manual follow-up.",,Ubookr Third-Party Integration,Medium,"integration,ubookr",
Story,Execute Functional & Device Testing,"User Story:
As a QA engineer, I want to run functional and device testing, so that I can validate system behavior before release.

Acceptance Criteria:
1. Given test plans are defined, when I execute functional tests, then pass and fail outcomes are recorded.
2. Given target devices are available, when device tests run, then compatibility results are captured for release review.",,"QA, UAT & Release Readiness",Medium,"qa,testing",
Story,Remediate QA & UAT Defects,"User Story:
As a developer, I want to remediate validated defects from QA and UAT, so that I can improve release quality.

Acceptance Criteria:
1. Given defects are prioritized, when fixes are implemented, then issue statuses move to resolved with verification evidence.
2. Given a defect is fixed, when regression checks run, then impacted workflows continue to behave as expected.",,"QA, UAT & Release Readiness",Medium,"qa,defects",
Story,Run User Acceptance Testing,"User Story:
As a business stakeholder, I want to perform user acceptance testing, so that I can confirm the product meets agreed requirements.

Acceptance Criteria:
1. Given UAT scenarios are prepared, when stakeholders execute tests, then acceptance outcomes are documented.
2. Given blocking issues are found, when UAT concludes, then release readiness is marked pending until resolution.",,"QA, UAT & Release Readiness",Medium,"qa,uat",
Story,Complete Release Readiness Checklist,"User Story:
As a release manager, I want to complete a release readiness checklist, so that I can ensure launch prerequisites are met.

Acceptance Criteria:
1. Given QA and UAT activities are complete, when I review the checklist, then all required approvals and artifacts are present.
2. Given any required item is missing, when checklist validation runs, then release is blocked with clear remediation actions.",,"QA, UAT & Release Readiness",Medium,"qa,release",
Story,Deploy to Production,"User Story:
As a DevOps engineer, I want to deploy the application to production, so that I can make the live platform available to end users.

Acceptance Criteria:
1. Given release approval is granted, when deployment executes, then production services are updated successfully.
2. Given deployment completes, when post-deploy checks run, then core workflows are operational.",,Launch & Deployment,Medium,"deployment,launch",
Story,Execute Go-Live Support,"User Story:
As a support lead, I want to provide go-live support and monitoring, so that I can stabilize the platform during launch.

Acceptance Criteria:
1. Given the application is live, when monitoring dashboards are observed, then incidents are identified promptly.
2. Given launch issues occur, when support triage is performed, then resolution actions are tracked to closure.",,Launch & Deployment,Medium,"launch,support",
Story,Prepare Handover Documentation,"User Story:
As a project manager, I want to provide handover documentation, so that I can enable operations teams to maintain the platform after launch.

Acceptance Criteria:
1. Given production deployment is complete, when handover docs are delivered, then support contacts, runbooks, and key procedures are included.
2. Given operations ownership transitions, when teams review documentation, then they can execute routine support tasks.",,Launch & Deployment,Medium,"launch,documentation",
